# SimpleMine Results Based on Alliance of Genome Resources
# Alliance Database Version: 5.0.0
# Date file generated (UTC): 2022-01-11 23:00
Your Input	Gene ID	Gene Symbol	Gene Name	Species	NCBI ID	ENSEMBL ID	UniProtKB ID	PANTHER ID	Synonym	Mouse Ortholog
HGNC:28432	HGNC:28432	TTC9C	tetratricopeptide repeat domain 9C	Homo sapiens	283237	ENSG00000162222	Q8N5M4 | H0YDR3 | E9PKV8 | E7EST3	N.A.	TPR repeat protein 9C | tetratricopeptide repeat protein 9C | MGC29649	MGI:1917637:Ttc9c
HGNC:28433	HGNC:28433	SPNS3	sphingolipid transporter 3 (putative)	Homo sapiens	201305	ENSG00000182557	Q6ZMD2 | I3L3W7	N.A.	spinster homolog 3 (Drosophila) | SLC62A3 | spinster homolog 3 | SPNS sphingolipid transporter 3 (putative) | MGC29671	MGI:1924827:Spns3
HGNC:28434	HGNC:28434	CCNQ	cyclin Q	Homo sapiens	92002	ENSG00000262919	A0A087WY98 | A0A087X0G9 | Q8N1B3 | K7EM37 | A0A087X1W3 | H7C3N1 | A0A087WUL6	PTHR10026	MGC29729 | CycM | family with sequence similarity 58, member A | cyclin-M | STAR | cyclin M | family with sequence similarity 58 member A | cyclin-related protein FAM58A | CDK10-activating cyclin | cyclin-Q | FAM58A	MGI:1916359:Ccnq
HGNC:28435	HGNC:28435	C9orf116	chromosome 9 open reading frame 116	Homo sapiens	138162	ENSG00000160345	Q5BN46 | H0Y549	PTHR20899	p53-induced expression 1 in Rb-/- cells | hypothetical protein LOC138162 | cells | p53-induced expression 1 in Rba^'/a^' cells | p53-induced expression in RB-null cells protein 1 | RP11-426A6.4 | UPF0691 protein C9orf116 | RbEST47 | MGC29761 | PIERCE1 | p53-induced expression 1 in Rb&#8722;/&#8722 | pierce 1 | FLJ13945 | p53-induced expression 1 in Rbâ¿¿/â¿¿	MGI:1916577:1700007K13Rik
HGNC:28436	HGNC:28436	C2orf15	chromosome 2 open reading frame 15	Homo sapiens	150590	ENSG00000273045	A0A3F2YNW3 | B2RAC6 | Q8WU43	N.A.	hypothetical protein LOC150590 | MGC29762 | FLJ44438 | uncharacterized protein C2orf15	N.A.
HGNC:28437	HGNC:28437	RPUSD3	RNA pseudouridine synthase D3	Homo sapiens	285367	ENSG00000156990	H7C2C3 | Q6P087 | H7C1H7 | H7C0K9 | H7C0K7 | C9JM75 | H7C454 | H7C0R9	N.A.	FLJ37268 | mitochondrial mRNA pseudouridine synthase RPUSD3 | RNA pseudouridylate synthase domain-containing protein 3 | MGC29784 | FLJ34707 | RNA pseudouridylate synthase domain containing 3	MGI:2141440:Rpusd3
HGNC:28438	HGNC:28438	UBALD2	UBA like domain containing 2	Homo sapiens	283991	ENSG00000185262	K7EMI7 | Q8IYN6 | K7ERK7	PTHR31993	hypothetical protein LOC283991 | MGC71792 | MGC29814 | UBA-like domain containing 2 | UBA-like domain-containing protein 2 | FAM100B | family with sequence similarity 100, member B	MGI:1914635:Ubald2
HGNC:28439	HGNC:28439	CHMP7	charged multivesicular body protein 7	Homo sapiens	91782	ENSG00000147457	Q8WUX9 | E5RJI3 | E5RIU9 | E5RFR8 | B3KMN6 | B3KUH0 | B3KRZ9	N.A.	CHMP family, member 7 | MGC29816 | chromatin-modifying protein 7	MGI:1913922:Chmp7
HGNC:28440	HGNC:28440	UTP25	UTP25 small subunit processor component	Homo sapiens	27042	ENSG00000117597	Q68CQ4 | H7C2R4	PTHR12933	UTP25, small subunit processor component | digestive-organ expansion factor homolog | digestive organ expansion factor homolog (zebrafish) | digestive organ expansion factor homolog | DIEXF | C1orf107 | FLJ12704 | FLJ41680 | MGC29875 | DEF | DJ434O14.5 | DKFZp686E19106	MGI:2138080:Utp25
HGNC:28441	HGNC:28441	GABPB2	GA binding protein transcription factor subunit beta 2	Homo sapiens	126626	ENSG00000143458	Q5SZG2 | Q8TAK5	N.A.	MGC29891 | GA binding protein transcription factor, beta subunit 2 | GABP subunit beta-2 | GA-binding protein subunit beta-2 | RP11-68I18.1 | GABPB-2 | GA binding protein transcription factor beta subunit 2	MGI:95612:Gabpb2
HGNC:28442	HGNC:28442	PACRGL	parkin coregulated like	Homo sapiens	133015	ENSG00000163138	D6R9F1 | H0YA87 | D6RF67 | D6R9N9 | D6RA69 | D6RBZ2 | D6RDH3 | D6R9D1 | D6RB63 | D6RC13 | D6RC23 | D6RAL7 | D6RAM4 | D6REJ6 | D6RGK2 | D6RD40 | D6REQ4 | D6RF08 | A8K679 | Q8N7B6 | D6RF51	PTHR21207	PARK2 coregulated like | PARK2 co-regulated like | MGC29898 | PARK2 co-regulated-like | PACRG-like protein | C4orf28	MGI:1914018:Pacrgl
HGNC:28443	HGNC:28443	C15orf40	chromosome 15 open reading frame 40	Homo sapiens	123207	ENSG00000169609	Q8WUR7 | A0A0S2Z5W1 | A0A0S2Z6M2 | H3BMR1 | H3BM85 | H0YAC3 | H0Y9H8 | H0Y996 | H3BQZ5	PTHR13420	FLJ33606 | MGC29937 | hypothetical protein LOC123207 | UPF0235 protein C15orf40	MGI:1914540:3110040N11Rik
HGNC:28444	HGNC:28444	TMEM42	transmembrane protein 42	Homo sapiens	131616	ENSG00000280516	Q69YG0	PTHR31965	MGC29956	MGI:1277176:Tmem42
HGNC:28445	HGNC:28445	ZNF511	zinc finger protein 511	Homo sapiens	118472	ENSG00000198546	Q8NB15	PTHR21354	MGC30006 | Zfp511	MGI:1917002:Zfp511
HGNC:28447	HGNC:28447	CLUHP3	clustered mitochondria homolog pseudogene 3	Homo sapiens	100132341	ENSG00000131797	Q96NS8	N.A.	clustered mitochondria (cluA/CLU1) homolog pseudogene 3 | KIAA0664 | C16orf67 | URLC3 | MGC3020 | FLJ30136 | KIAA0664L3 | MGC31812 | KIAA0664P3	N.A.
HGNC:28448	HGNC:28448	TMEM86B	transmembrane protein 86B	Homo sapiens	255043	ENSG00000180089	Q8N661	PTHR31885	MGC30208 | alkenylglycerophosphoethanolamine hydrolase | alkenylglycerophosphocholine hydrolase | lysoplasmalogenase	MGI:1915505:Tmem86b
HGNC:28449	HGNC:28449	ZFTA	chromosome 11 open reading frame 95	Homo sapiens	65998	ENSG00000188070	A0A087X051 | A0A087WU89 | C9JLR9 | A0A087WZS6	N.A.	RP11-466C23.3 | uncharacterized protein C11orf95 | MGC3032 | hypothetical protein LOC65998	MGI:1919667:Zfta
HGNC:2845	HGNC:2845	DGCR2	DiGeorge syndrome critical region gene 2	Homo sapiens	9993	ENSG00000070413	Q5CZ70 | Q8IWC8 | P98153 | B7Z3T5 | B7Z3C4 | F6SYP7	PTHR15256	SEZ-12 | integral membrane protein deleted in DiGeorge syndrome | LAN | DKFZp686I1730 | IDD | integral membrane protein DGCR2/IDD | DiGeorge syndrome critical region protein 2 | KIAA0163 | DGS-C	MGI:892866:Dgcr2
HGNC:28450	HGNC:28450	RETREG2	reticulophagy regulator family member 2	Homo sapiens	79137	ENSG00000144567	C9JIF3 | F8WE68 | F8WAL5 | C9J3K5 | B3KR51 | H7C3D5 | Q8NC44	N.A.	C2orf17 | hypothetical protein LOC79137 | DKFZp686C2379 | MAG-2 | metastasis associated gene-2 | MGC3035 | family with sequence similarity 134, member A | FAM134A | reticulophagy regulator 2 | family with sequence similarity 134 member A	MGI:2388278:Retreg2
HGNC:28451	HGNC:28451	TMEM108	transmembrane protein 108	Homo sapiens	66000	ENSG00000144868	D6RGJ9 | B3KT64 | D6RIE1 | D6RFH6 | D6R9I6 | D6R911 | Q6UXF1 | E9PB58	PTHR28673	RTLN | cancer/testis antigen 124 | CT124 | retrolinkin | MGC3040	MGI:1932411:Tmem108
HGNC:28453	HGNC:28453	GID4	GID complex subunit 4 homolog	Homo sapiens	79018	ENSG00000141034	K7ELH7 | K7ENE2 | B3KXL6 | K4DI96 | Q8IVV7	N.A.	vacuolar import and degradation 24 | VID2 | uncharacterized protein C17orf39 | vacuolar import and degradation protein 24 homolog | C17orf39 | GID complex subunit 4, VID24 homolog | MGC3048 | hypothetical protein LOC79018 | glucose-induced degradation protein 4 homolog | VID24	MGI:1914021:Gid4
HGNC:28454	HGNC:28454	DERL1	derlin 1	Homo sapiens	79139	ENSG00000136986	B4E1G1 | Q9BUN8 | A0A024R9G3 | E5RGY0 | B2R979	N.A.	der1-like protein 1 | derlin-1 | MGC3067 | FLJ13784 | DERtrin-1 | DER1 | Der1-like domain family, member 1 | FLJ42092 | DER-1 | degradation in endoplasmic reticulum protein 1 | PRO2577	MGI:1915069:Derl1
HGNC:28455	HGNC:28455	DBNDD1	dysbindin domain containing 1	Homo sapiens	79007	ENSG00000003249	Q9H9R9 | H3BLZ2 | H3BS76	PTHR16294	dysbindin (dystrobrevin binding protein 1) domain containing 1 | FLJ12582 | MGC3101 | dysbindin domain-containing protein 1	MGI:1919435:Dbndd1
HGNC:28456	HGNC:28456	LRFN4	leucine rich repeat and fibronectin type III domain containing 4	Homo sapiens	78999	ENSG00000173621	Q6PK41 | Q7L3C2 | Q6IPL6 | A0A024R5I6 | Q6PJG9 | E7ENX6	N.A.	MGC3103 | SALM3 | FIGLER6 | SALM3. | leucine-rich repeat and fibronectin type-III domain-containing protein 4 | fibronectin type III, immunoglobulin and leucine rich repeat domains 6	MGI:2385612:Lrfn4
HGNC:28457	HGNC:28457	RHPN1-AS1	RHPN1 antisense RNA 1 (head to head)	Homo sapiens	78998	ENSG00000254389	Q9BWJ2	N.A.	MGC3113 | C8orf51	N.A.
HGNC:28458	HGNC:28458	PRR14	proline rich 14	Homo sapiens	78994	ENSG00000156858	Q96D88 | Q9BWN1 | A0A024QZB5 | H3BND2 | H3BQL8	PTHR14522	DKFZp781A13198 | MGC3121 | proline-rich protein 14	MGI:2384565:Prr14
HGNC:28459	HGNC:28459	TMUB2	transmembrane and ubiquitin like domain containing 2	Homo sapiens	79089	ENSG00000168591	Q71RG4 | B4DFQ1 | K7EKW3 | E7ESS3 | K7EPS1 | K7EJF7 | K7ESL5	PTHR14557	FP2653 | transmembrane and ubiquitin-like domain-containing protein 2 | MGC3123 | transmembrane and ubiquitin-like domain containing 2	MGI:1919303:Tmub2
HGNC:2846	HGNC:2846	DGCR6	DiGeorge syndrome critical region gene 6	Homo sapiens	8214	ENSG00000183628	X5D9I2 | X5DP20 | X5DP66 | X5DRE8 | Q14129 | X5D7D2 | K7ELY4 | K7EPQ2 | Q6FGH4	PTHR13054	DiGeorge syndrome critical region protein 6	MGI:1202877:Dgcr6
HGNC:28460	HGNC:28460	HROB	homologous recombination factor with OB-fold	Homo sapiens	78995	ENSG00000125319	Q8N3J3	PTHR14523	MCM8IP | homologous recombincation factor with OB-fold | chromosome 17 open reading frame 53 | FLJ11594 | C17orf53 | hypothetical protein LOC78995 | MCM8-9-Interacting Protein) | MGC3130 | uncharacterized protein C17orf53	MGI:2387601:Hrob
HGNC:28461	HGNC:28461	NOC4L	nucleolar complex associated 4 homolog	Homo sapiens	79050	ENSG00000288146	Q9BVI4 | F5H303	PTHR12455	nucleolar complex protein 4 homolog | MGC3162 | NOC4 | UTP19 | NET49 | NOC4 protein homolog | NOC4-like protein | nucleolar complex-associated protein 4-like protein	MGI:2140843:Noc4l
HGNC:28462	HGNC:28462	TMEM38A	transmembrane protein 38A	Homo sapiens	79041	ENSG00000072954	Q9H6F2 | M0QYB6	PTHR12454	TRICA | TRIC-A | MGC3169 | trimeric intracellular cation channel type A	MGI:1921416:Tmem38a
HGNC:28464	HGNC:28464	TMEM223	transmembrane protein 223	Homo sapiens	79064	ENSG00000168569	H0YCK4 | A0PJW6 | G5EA27	PTHR14549	MGC3196	MGI:1914086:Tmem223
HGNC:28465	HGNC:28465	CCDC107	coiled-coil domain containing 107	Homo sapiens	203260	ENSG00000159884	Q8WV48 | X6R9Y9	PTHR37345	PSEC0222 | coiled-coil domain-containing protein 107 | RP11-331F9.6 | MGC31967 | FLJ97171	MGI:1913423:Ccdc107
HGNC:28466	HGNC:28466	POLR3GL	RNA polymerase III subunit GL	Homo sapiens	84265	ENSG00000121851	Q9BT43 | A6NGX6	PTHR15367	RPC32-like protein | flj32422 | RPC32HOM | DNA-directed RNA polymerase III subunit RPC7-like | RNA polymerase III 32 kDa beta subunit | FLJ34890 | RNA polymerase III subunit G like | RNA polymerase III subunit C7-like | polymerase (RNA) III subunit G like | polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like | MGC3200 | RPC32-beta | DNA-directed RNA polymerase III subunit G-like | alternative RNA polymerase III subunit 32	MGI:1917120:Polr3gl
HGNC:28467	HGNC:28467	FAAP24	FA core complex associated protein 24	Homo sapiens	91442	ENSG00000131944	Q9BTP7 | X6R368 | A0A0S2Z5V6 | K7EKQ4	PTHR31786	Fanconi anemia core complex associated protein 24 | Fanconi anemia-associated protein, 24 kDa | Fanconi anemia core complex-associated protein 24 | C19orf40 | Fanconi anemia-associated protein of 24 kDa | FLJ46828 | MGC32020	MGI:2142208:Faap24
HGNC:28468	HGNC:28468	SNX33	sorting nexin 33	Homo sapiens	257364	ENSG00000173548	Q8WV41 | L8E981 | H3BPR3	PTHR45827	sorting nexin-33 | SH3 and PX domain containing 3 | SNX30 | MGC32065 | SH3 and PX domain-containing protein 3 | SH3PXD3C | SH3PX3	MGI:2443239:Snx33
HGNC:28469	HGNC:28469	MRI1	methylthioribose-1-phosphate isomerase 1	Homo sapiens	84245	ENSG00000037757	Q9BV20	N.A.	S-methyl-5-thioribose-1-phosphate isomerase 1 | mediator of RhoA-dependent invasion | M1Pi | MTR-1-P isomerase | MGC3207 | methylthioribose-1-phosphate isomerase | S-methyl-5-thioribose-1-phosphate isomerase | Ypr118w | MTNA | translation initiation factor eIF-2B subunit alpha/beta/delta-like protein | MRDI | methylthioribose-1-phosphate isomerase homolog	MGI:1915123:Mri1
HGNC:2847	HGNC:2847	DGCR8	DGCR8 microprocessor complex subunit	Homo sapiens	54487	ENSG00000128191	C9JSD5 | L8E8Q8 | Q8WYQ5	PTHR13482	DGCR8, microprocessor complex subunit | Gy1 | C22orf12 | microprocessor complex subunit DGCR8 | chromosome 22 open reading frame 12 | DiGeorge syndrome critical region gene 8 | pasha | DiGeorge syndrome critical region 8 | DGCRK6	MGI:2151114:Dgcr8
HGNC:28470	HGNC:28470	BRCA1P1	BRCA1 pseudogene 1	Homo sapiens	394269	N.A.	N.A.	N.A.	pseudo-BRCA1 | PsiBRCA1 | LBRCA1	N.A.
HGNC:28471	HGNC:28471	CYB5D2	cytochrome b5 domain containing 2	Homo sapiens	124936	ENSG00000167740	I3L497 | Q8WUJ1	N.A.	MGC32124 | neuferricin | cytochrome b5 domain-containing protein 2	MGI:2684848:Cyb5d2
HGNC:28472	HGNC:28472	TMEM43	transmembrane protein 43	Homo sapiens	79188	ENSG00000170876	A0A0S2Z5N2 | Q9BTV4 | A0A024R2F9 | F8WDL3	PTHR13416	arrhythmogenic right ventricular dysplasia 5 | MGC3222 | LUMA | EDMD7 | ARVD5 | DKFZp586G1919 | ARVC5	MGI:1921372:Tmem43
HGNC:28473	HGNC:28473	NOA1	nitric oxide associated 1	Homo sapiens	84273	ENSG00000084092	Q8NC60	N.A.	nitric oxide synthase, mitochondrial (putative) | mitochondrial GTPase 3 homolog | mitochondrial nitric oxide synthase | MTG3 | hNOA1 | mAtNOS1 | hypothetical protein LOC84273 | putative ortholog of Arabidopsis mitochondrial nitric oxide synthase | C4orf14 | uncharacterized protein C4orf14 | nitric oxide associated-1 | nitric oxide-associated protein 1 | hAtNOS1 | MGC3232	MGI:1914306:Noa1
HGNC:28474	HGNC:28474	CHID1	chitinase domain containing 1	Homo sapiens	66005	ENSG00000177830	E9PPH0 | E9PQZ0 | E9PI70 | H0YC89 | H0YCC4 | H0YDL6 | H0YEA3 | E9PIP0 | E9PJ91 | A0A024RCB5 | E9PPA0 | E9PKF1 | E9PJL0 | Q9BWS9 | E9PRL3	N.A.	FLJ42707 | stabilin-1-interacting chitinase-like protein | GL008 | MGC3234 | stabilin-1 interacting chitinase-like protein | chitinase domain-containing protein 1 | SICLP | SI-CLP	MGI:1915288:Chid1
HGNC:28476	HGNC:28476	YIPF2	Yip1 domain family member 2	Homo sapiens	78992	ENSG00000130733	K7EIP7 | K7EL70 | K7EM92 | K7ENM8 | K7EQH3 | A0A024R7E1 | K7ENZ5 | K7EJN9 | K7ERW0 | Q9BWQ6	PTHR12822	YIP1 family member 2 | Yip1 domain family, member 2 | MGC3262 | FinGER2	MGI:1922016:Yipf2
HGNC:28477	HGNC:28477	PCYOX1L	prenylcysteine oxidase 1 like	Homo sapiens	78991	ENSG00000145882	Q8NBM8 | E7EVZ5 | D6R9J0	PTHR15944	prenylcysteine oxidase-like | MGC3265	MGI:3606062:Pcyox1l
HGNC:28479	HGNC:28479	C16orf78	chromosome 16 open reading frame 78	Homo sapiens	123970	ENSG00000166152	Q8WTQ4	PTHR35679	MGC33367 | hypothetical protein LOC123970 | uncharacterized protein C16orf78	MGI:3607717:4933402J07Rik
HGNC:28480	HGNC:28480	SLC35G2	solute carrier family 35 member G2	Homo sapiens	80723	ENSG00000168917	Q8TBE7	N.A.	DKFZp564K2464 | TMEM22 | solute carrier family 35, member G2 | transmembrane protein 22 | MGC3295	MGI:2685365:Slc35g2
HGNC:28482	HGNC:28482	DYNLT2B	Tctex1 domain containing 2	Homo sapiens	255758	ENSG00000213123	Q8WW35 | F8WD40 | E7ER86	PTHR21255	TCTEX1D2 | SRTD17 | Tctex1 domain containing 2 | MGC33212 | tctex1 domain-containing protein 2	MGI:1913311:Dynlt2b
HGNC:28483	HGNC:28483	TMEM161B	transmembrane protein 161B	Homo sapiens	153396	ENSG00000164180	B7Z6A5 | B7Z6T3 | D6RBE8 | E9PCX5 | B7Z6X1 | Q8NDZ6 | D6RAK4 | D6RAR3 | E9PFW6	PTHR13624	FLB3342 | PRO1313 | MGC33214	MGI:1919995:Tmem161b
HGNC:28484	HGNC:28484	METTL16	methyltransferase like 16	Homo sapiens	79066	ENSG00000127804	Q86W50 | I3L3W3 | B7Z3X7 | I3L4V1 | I3L362 | K7EKQ8	PTHR13393	U6 snRNA methyltransferase | U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase | MGC3329 | methyltransferase 10 domain-containing protein | N6-adenosine-methyltransferase METTL16 | putative methyltransferase METT10D | METT10D | RNA N6-adenosine-methyltransferase METTL16 | methyltransferase 10 domain containing | methyltransferase-like protein 16	MGI:1914743:Mettl16
HGNC:28486	HGNC:28486	MFSD8	major facilitator superfamily domain containing 8	Homo sapiens	256471	ENSG00000164073	E7ERQ4 | A0A286YFJ5 | A0A286YFK4 | A0A286YFM2 | A0A286YFM7 | B7Z2B2 | A0A286YER2 | A0A286YEV4 | A0A286YEV9 | A0A286YEW2 | A0A286YEW6 | A0A286YEW7 | A0A286YEW8 | A0A286YEX1 | A0A286YEY8 | A0A286YF00 | A0A286YF45 | A0A286YF51 | A0A286YF72 | A0A286YF73 | A0A286YF82 | A0A286YF93 | A0A286YFB5 | A0A286YFC6 | A0A286YFE6 | A0A286YFE7 | A0A286YFF1 | A0A286YFF5 | A0A286YFG7 | A0A286YFH3 | A0A286YFH9 | A0A286YFI8 | A0A286YFI9 | Q8NHS3	N.A.	ceroid-lipofuscinosis neuronal protein 7 | CCMD | major facilitator superfamily domain-containing protein 8 | ceroid-lipofuscinosis, neuronal 7, late infantile | ceroid-lipofuscinosis, neuronal 7, late infantile, variant | MGC33302 | CLN7	MGI:1919425:Mfsd8
HGNC:28487	HGNC:28487	GOT1L1	glutamic-oxaloacetic transaminase 1 like 1	Homo sapiens	137362	ENSG00000169154	Q8NHS2 | E5RJX9 | E5RI59	PTHR11879	glutamate oxaloacetate transaminase 1-like protein 1 | putative aspartate aminotransferase, cytoplasmic 2 | transaminase A-like protein 1 | MGC33309 | glutamic-oxaloacetic transaminase 1-like 1	MGI:1923865:Got1l1
HGNC:28489	HGNC:28489	KLHDC9	kelch domain containing 9	Homo sapiens	126823	ENSG00000162755	Q8NEP7	PTHR47196	kelch domain-containing protein 9 | kelch/ankyrin repeat-containing cyclin A1-interacting protein | RP11-544M22.9 | KARCA1 | MGC33338	MGI:1916124:Klhdc9
HGNC:2849	HGNC:2849	DGKA	diacylglycerol kinase alpha	Homo sapiens	1606	ENSG00000065357	G3V4I3 | G3V327 | F8W1H7 | F8W1M3 | A0A024RB23 | P23743 | G3V4E1 | F8VWX8 | F8VNZ9 | H0YJH4 | H0YJE7 | C9JM35 | G3V312	PTHR11255	DAGK1 | DGK-alpha | 80 kDa diacylglycerol kinase | DAGK | diacylglycerol kinase, alpha 80kDa | diglyceride kinase alpha | DAG kinase alpha | MGC42356 | MGC12821 | diacylglycerol kinase, alpha (80 kda)	MGI:102952:Dgka
HGNC:28490	HGNC:28490	DIPK2A	divergent protein kinase domain 2A	Homo sapiens	205428	ENSG00000181744	Q8NDZ4 | B3KTD4 | C9JY09 | E7ET39	PTHR32073	UPF0672 protein C3orf58 | hypoxia and Akt induced stem cell factor | hypoxia and AKT-induced stem cell factor | Golgi protein GoPro49 | Golgi Protein of 49 kDa | C3orf58 | HASF | GoPro49 | DIA1 | deleted in autism protein 1 | MGC33365 | chromosome 3 open reading frame 58 | deleted in autism 1	MGI:1916111:Dipk2a
HGNC:28491	HGNC:28491	CATSPERE	catsper channel auxiliary subunit epsilon	Homo sapiens	257044	ENSG00000179397	B1AQM6 | Q5SY80	PTHR33722	RP11-523K4.1 | cation channel sperm-associated protein subunit epsilon | catSper-epsilon | uncharacterized protein C1orf101 | C1orf101 | chromosome 1 open reading frame 101 | C10orf101 | MGC33370 | catSperepsilon | hypothetical protein LOC257044	MGI:3647531:Catspere1 | MGI:5589632:Catspere2
HGNC:28492	HGNC:28492	FAM76B	family with sequence similarity 76 member B	Homo sapiens	143684	ENSG00000077458	F5GX09 | F5H5F4 | F5H215 | Q5HYJ3 | F5H6T9	PTHR46176	MGC33371 | family with sequence similarity 76, member B | hypothetical protein LOC143684	MGI:1920076:Fam76b
HGNC:28494	HGNC:28494	ACTL9	actin like 9	Homo sapiens	284382	ENSG00000181786	Q8TC94	PTHR11937	testicular tissue protein Li 15 | MGC33407 | testicular tissue protein Li 9 | actin-like protein 9 | HSD21 | actin-like 9	MGI:1916731:Actl9
HGNC:28495	HGNC:28495	ZNF683	zinc finger protein 683	Homo sapiens	257101	ENSG00000176083	A0A0A0MSJ7 | A0A0A0MT21 | X1WI32 | X1WI31 | Q8IZ20 | Q5T145 | Q5T142	N.A.	homolog of Blimp-1 in T cells | hypothetical protein MGC33414 | Hobit | MGC33414 | homolog of Blimp-1 in T-cell | tissue-resident T-cell transcription regulator protein ZNF683 | RP11-569G9.6	MGI:3650254:Zfp683
HGNC:28496	HGNC:28496	POGLUT3	protein O-glucosyltransferase 3	Homo sapiens	143888	ENSG00000178202	A0A024R3C4 | Q7Z4H8 | H0YEM3	N.A.	KDEL motif-containing protein 2 | KDELC2 | MGC33424 | KDEL (Lys-Asp-Glu-Leu) containing 2 | KDEL motif containing 2	MGI:1923765:Poglut3
HGNC:28497	HGNC:28497	TMEM151A	transmembrane protein 151A	Homo sapiens	256472	ENSG00000179292	Q8N4L1	PTHR31893	transmembrane protein 151 | MGC33486 | TMEM151	MGI:2147713:Tmem151a
HGNC:28498	HGNC:28498	VXN	vexin	Homo sapiens	254778	ENSG00000169085	E5RH60 | E5RKA6 | R4GNJ7 | Q8TAG6 | E5RJS6	PTHR31520	chromosome 8 open reading frame 46 | C8orf46 | hypothetical protein LOC254778 | uncharacterized protein C8orf46 | MGC33510	MGI:1924232:Vxn
HGNC:28499	HGNC:28499	VSTM2A	V-set and transmembrane domain containing 2A	Homo sapiens	222008	ENSG00000170419	Q8TAG5 | F8W8J5 | B5MCX6	N.A.	VSTM2 | hypothetical protein MGC33530 | V-set and transmembrane domain containing 2 | MGC33530 | V-set and transmembrane domain-containing protein 2A	MGI:2384826:Vstm2a
HGNC:285	HGNC:285	ADRB1	adrenoceptor beta 1	Homo sapiens	153	ENSG00000043591	P08588	N.A.	adrenergic, beta-1-, receptor | beta-1 adrenergic receptor | beta-1 adrenoreceptor | adrenergic receptor, beta 1 | RHR | ADRB1R | beta-1 adrenoceptor | B1AR | BETA1AR | FNSS2	MGI:87937:Adrb1
HGNC:2850	HGNC:2850	DGKB	diacylglycerol kinase beta	Homo sapiens	1607	ENSG00000136267	B7ZL83 | Q9Y6T7 | C9JA18 | B5MBY2 | B5MCD5	PTHR11255	diglyceride kinase beta | DGK | DAGK2 | KIAA0718 | diacylglycerol kinase, beta 90kDa | DGK-BETA | 90 kDa diacylglycerol kinase | DAG kinase beta | diacylglycerol kinase, beta	MGI:2442474:Dgkb
HGNC:28500	HGNC:28500	C10orf82	chromosome 10 open reading frame 82	Homo sapiens	143379	ENSG00000165863	Q8WW14 | K7EKP3	N.A.	uncharacterized protein C10orf82 | MGC33547 | FLJ40268 | hypothetical protein LOC143379	MGI:1914757:1700019N19Rik
HGNC:28501	HGNC:28501	ZNF775	zinc finger protein 775	Homo sapiens	285971	ENSG00000196456	C9JVG2 | Q96BV0 | C9JAM7	N.A.	MGC33584	MGI:2683557:Zfp775
HGNC:28503	HGNC:28503	SLC66A3	solute carrier family 66 member 3	Homo sapiens	130814	ENSG00000162976	Q8N755 | B5MC27 | C9J4B6 | H7C493 | G5E9P4	PTHR12226	PQ-loop repeat-containing protein 3 | chromosome 2 open reading frame 22 | MGC33602 | PQ loop repeat containing 3 | PQLC3 | C2orf22	MGI:2444067:Pqlc3
HGNC:28504	HGNC:28504	CCDC110	coiled-coil domain containing 110	Homo sapiens	256309	ENSG00000168491	A0A096LNZ5 | D6RB18 | D6RDN4 | D6RCR3 | E7EUS2 | A0A096LNP5 | H0Y9S3 | A0A494C037 | Q8TBZ0	N.A.	KM-HN-1 | MGC33607 | CT52 | KMHN1 | cancer/testis antigen KM-HN-1 | cancer/testis antigen 52 | coiled-coil domain-containing protein 110	MGI:2685018:Ccdc110
HGNC:28505	HGNC:28505	BOD1L2	biorientation of chromosomes in cell division 1 like 2	Homo sapiens	284257	ENSG00000228075	Q8IYS8	PTHR31532	putative biorientation of chromosomes in cell division protein 1-like 2 | biorientation of chromosomes in cell division 1-like 2 | family with sequence similarity 44, member C | putative biorientation of chromosomes in cell division protein 1 pseudogene | putative protein FAM44C | FAM44C | MGC33608 | biorientation of chromosomes in cell division protein 1 pseudogene | BOD1P | biorientation of chromosomes in cell division protein 1-like 2 | biorientation of chromosomes in cell division 1 pseudogene	MGI:1916806:Bod1
HGNC:28506	HGNC:28506	CFAP251	cilia and flagella associated protein 251	Homo sapiens	144406	ENSG00000158023	Q8TBY9 | A0A024RBT0	N.A.	FLJ39783 | cilia- and flagella-associated protein 251 | WD repeat-containing protein 66 | WDR66 | WD repeat domain 66 | SPGF33 | CaM-IP4 | MGC33630	MGI:1918495:Wdr66
HGNC:28507	HGNC:28507	EXD1	exonuclease 3'-5' domain containing 1	Homo sapiens	161829	ENSG00000178997	Q8NHP7 | H0YK66	N.A.	piRNA biogenesis protein EXD1 | exonuclease 3'-5' domain-like 1 | MGC33637 | exonuclease 3'-5' domain-like-containing protein 1 | exonuclease 3'-5' domain-containing protein 1 | EXDL1 | inactive exonuclease EXD1	MGI:3045306:Exd1
HGNC:28508	HGNC:28508	SETD9	SET domain containing 9	Homo sapiens	133383	ENSG00000155542	Q8NE22 | F8WBJ9 | C9J935	PTHR33524	MGC33648 | SET domain-containing protein 9 | C5orf35 | uncharacterized protein C5orf35 | hypothetical protein LOC133383	N.A.
HGNC:28509	HGNC:28509	BEND2	BEN domain containing 2	Homo sapiens	139105	ENSG00000177324	Q8NDZ0 | B3KXX8	PTHR47305	BEN domain-containing protein 2 | MGC33653 | CXorf20	N.A.
